YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2022,15,0,24,1,0,0,0,0,0,39000
2022,15,0,20,0,0,0,1,0,0,73000
2022,15,0,61,0,0,0,1,0,0,0
2022,15,0,33,0,0,0,1,0,0,27500
2022,15,0,21,0,0,0,0,1,0,25000
2022,15,1,41,0,0,0,0,1,1,4500
2022,15,0,20,0,0,0,0,1,0,23000
2022,15,0,20,0,0,0,0,1,0,25000
2022,15,0,21,1,0,0,0,0,0,26000
2022,15,0,22,1,0,0,0,0,0,6400
2022,15,1,21,0,0,0,0,1,0,36400
2022,15,1,71,0,0,0,0,1,0,6000
2022,15,0,21,0,0,0,1,0,0,13200
2022,15,0,38,0,0,0,1,0,0,0
2022,15,0,85,0,1,0,0,0,0,48200
2022,15,0,28,0,0,0,0,0,0,6000
2022,15,1,19,0,0,0,0,1,0,7500
2022,15,0,27,1,0,0,0,0,1,33000
2022,15,0,43,0,0,0,0,1,0,9600
2022,15,0,20,0,0,0,0,1,0,23000
2022,15,0,23,0,0,0,0,1,0,27600
2022,15,0,19,0,0,0,0,1,0,3500
2022,15,0,32,0,0,0,0,1,1,15430
2022,15,0,21,0,0,0,1,0,0,86000
2022,15,1,19,1,0,0,0,1,0,12000
2022,15,0,21,0,0,1,0,0,0,30000
2022,15,1,48,0,0,0,1,0,0,0
2022,15,0,20,0,0,0,0,1,0,23600
2022,15,0,23,0,0,0,0,1,0,27600
2022,15,0,17,1,0,0,0,0,0,0
2022,15,1,78,0,0,0,1,0,0,14900
2022,15,0,66,0,0,0,0,0,0,0
2022,15,0,45,0,0,0,0,0,0,500
2022,15,0,43,0,0,0,1,0,0,11000
2022,15,0,27,0,0,0,0,1,0,32400
2022,15,0,23,0,0,0,0,1,0,22000
2022,15,1,42,0,0,0,1,0,0,0
2022,15,0,67,0,1,0,0,0,0,15300
2022,15,0,23,0,0,0,0,1,0,22000
2022,15,1,38,0,0,0,0,0,0,0
2022,15,0,53,0,0,0,0,0,0,0
2022,15,1,19,1,0,0,0,1,0,31020
2022,15,0,23,0,0,1,0,0,0,86000
2022,15,0,19,0,0,0,0,1,0,23000
2022,15,0,33,0,0,0,1,0,0,19500
2022,15,0,22,0,0,0,1,0,0,24000
2022,15,0,29,0,0,0,1,0,1,4200
2022,15,1,18,0,0,0,0,0,0,610
2022,15,0,24,0,0,0,0,1,0,24000
2022,15,0,97,0,1,0,0,0,0,12000
2022,15,0,62,0,0,0,1,0,0,29300
2022,15,0,24,0,0,0,0,1,0,24000
2022,15,0,45,0,0,0,0,0,0,500
2022,15,0,86,0,0,0,0,1,0,34800
2022,15,0,23,0,0,0,0,1,0,22000
2022,15,0,20,0,0,0,0,1,0,24000
2022,15,0,28,0,0,0,0,1,0,33000
2022,15,0,20,1,0,0,0,1,0,20000
2022,15,1,42,0,0,0,1,0,0,0
2022,15,0,18,0,1,0,0,0,0,25900
2022,15,1,89,0,1,0,0,0,0,0
2022,15,0,22,0,0,1,0,0,0,39200
2022,15,0,21,0,0,1,0,0,0,30000
2022,15,0,20,0,0,1,0,0,0,30000
2022,15,1,67,0,0,0,1,0,0,39800
2022,15,1,19,1,0,0,0,0,0,35000
2022,15,1,67,0,0,0,1,0,0,39800
2022,15,0,32,0,0,0,1,0,0,0
2022,15,1,48,0,0,0,1,0,0,0
2022,15,0,57,0,0,0,0,1,0,9600
2022,15,1,21,1,0,0,0,0,0,28800
2022,15,1,23,0,0,1,0,0,0,35500
2022,15,0,22,0,0,0,0,1,0,22000
2022,15,0,38,0,0,0,1,0,0,0
2022,15,1,84,0,0,0,1,0,0,0
2022,15,0,22,1,0,0,0,1,0,27300
2022,15,0,23,0,0,0,0,1,0,20200
2022,15,0,22,0,0,0,1,0,0,7700
2022,15,0,21,1,0,0,0,0,0,23000
2022,15,0,43,0,0,0,1,0,0,0
2022,15,0,81,0,0,0,0,1,1,14400
2022,15,1,18,0,0,0,0,1,0,0
2022,15,1,41,0,0,0,0,1,1,4500
2022,15,0,26,0,0,0,0,1,1,27000
2022,15,0,66,0,0,0,0,1,1,0
2022,15,0,54,0,0,0,1,0,0,0
2022,15,1,67,0,0,0,1,0,0,39800
2022,15,0,33,0,1,0,0,0,1,35400
2022,15,1,19,0,0,0,0,1,0,7500
2022,15,1,41,0,0,0,0,0,0,2300
2022,15,0,38,0,0,0,1,0,0,48750
2022,15,0,21,1,0,0,0,1,0,86000
2022,15,1,20,0,0,0,0,1,0,6700
2022,15,1,27,0,0,0,0,1,1,50000
2022,15,0,59,0,0,0,0,1,1,27000
2022,15,0,29,0,0,0,1,0,1,4200
2022,15,0,89,0,1,0,0,0,0,14400
2022,15,0,21,0,0,0,0,1,0,32800
2022,15,0,73,0,0,0,0,1,0,5600
2022,15,0,87,0,0,0,0,1,0,12000
2022,15,1,19,0,0,0,0,1,0,12000
2022,15,0,44,0,0,0,1,0,0,9500
2022,15,1,56,0,0,0,0,0,0,10800
2022,15,1,70,0,0,0,1,0,0,1700
2022,15,0,43,0,0,0,1,0,0,11000
2022,15,0,57,0,0,0,0,1,0,9000
2022,15,1,28,0,0,0,1,0,1,10000
2022,15,0,21,0,0,0,0,1,0,4000
2022,15,0,24,1,0,0,0,0,0,22000
2022,15,0,19,0,0,0,0,1,0,23000
2022,15,0,40,0,0,0,0,1,0,1300
2022,15,1,19,1,0,0,0,0,0,4000
2022,15,0,63,0,0,0,0,0,0,2300
2022,15,0,28,0,0,0,0,1,0,25000
2022,15,0,22,1,0,0,0,0,0,0
2022,15,0,22,0,0,0,0,1,0,22000
2022,15,0,23,1,0,0,0,0,0,22000
2022,15,1,18,1,0,0,0,1,0,1600
2022,15,0,48,0,1,0,0,0,0,1800
2022,15,0,19,1,0,0,0,1,0,26400
2022,15,0,71,0,0,0,0,1,1,35200
2022,15,0,32,0,0,0,1,0,0,630
2022,15,0,44,0,0,0,1,0,0,9500
2022,15,0,63,0,0,0,0,0,0,2300
2022,15,0,27,0,0,0,0,1,1,29000
2022,15,0,22,0,0,1,0,0,0,26000
2022,15,0,24,0,0,0,0,0,0,160
2022,15,0,36,0,0,0,0,1,0,0
2022,15,0,69,0,0,0,1,0,0,15300
2022,15,0,41,1,0,0,0,0,0,0
2022,15,0,64,1,0,0,0,0,0,5700
2022,15,0,91,0,1,0,0,0,0,5600
2022,15,0,21,0,0,0,1,0,0,5300
2022,15,0,24,0,0,0,1,0,0,22000
2022,15,0,27,0,0,0,0,1,0,23000
2022,15,0,81,0,1,0,0,0,0,48200
2022,15,0,21,0,0,0,0,1,0,25000
2022,15,0,19,0,0,0,0,1,0,22400
2022,15,0,22,0,0,0,1,0,1,0
2022,15,1,27,0,0,0,0,1,1,50000
2022,15,0,53,0,0,1,0,0,0,1200
2022,15,0,18,0,1,0,0,0,0,25900
2022,15,1,38,0,0,0,0,0,0,0
2022,15,0,21,1,0,0,0,1,0,25000
2022,15,0,21,0,0,0,0,0,0,73000
2022,15,0,22,0,0,0,1,0,1,0
2022,15,1,20,0,0,0,0,1,0,6700
2022,15,0,41,0,0,0,1,0,0,9000
2022,15,1,97,0,1,0,0,0,0,6000
2022,15,0,22,0,0,1,0,0,0,27600
2022,15,0,19,0,0,0,0,1,0,4100
2022,15,1,93,0,1,0,0,0,0,31100
2022,15,0,26,0,0,0,0,1,0,35000
2022,15,1,18,0,0,0,0,1,0,4600
2022,15,0,21,0,0,0,0,1,0,5600
2022,15,0,34,0,0,0,0,0,1,36000
2022,15,1,74,0,0,0,0,1,0,0
2022,15,0,83,0,0,0,0,0,0,5600
2022,15,0,73,0,1,0,0,0,0,8400
2022,15,0,22,1,0,0,0,1,0,23000
2022,15,0,25,0,0,0,0,1,0,26200
2022,15,0,88,0,1,0,0,0,0,27900
2022,15,0,25,0,0,0,0,1,0,25000
2022,15,0,19,0,0,0,1,0,0,9500
2022,15,1,55,0,0,0,1,0,0,9280
2022,15,1,91,0,1,0,0,0,0,0
2022,15,0,27,0,0,0,0,1,0,23000
2022,15,0,22,0,0,1,0,0,0,24600
2022,15,0,25,0,0,0,0,1,0,55000
2022,15,0,19,1,0,0,0,1,0,2000
2022,15,0,69,1,0,0,0,0,1,0
2022,15,1,51,0,0,0,1,0,0,19000
2022,15,0,78,0,0,0,0,1,0,5600
2022,15,0,59,0,0,0,0,0,0,9780
2022,15,0,22,0,1,0,0,0,0,16000
2022,15,0,22,0,0,0,1,0,0,24000
2022,15,1,74,0,0,0,0,1,0,0
2022,15,1,41,0,0,0,0,1,1,4500
2022,15,0,32,0,0,0,1,0,0,0
2022,15,0,33,0,1,0,0,0,1,35400
2022,15,0,74,0,1,0,0,0,1,24600
2022,15,0,20,1,0,0,0,1,0,20000
2022,15,1,23,0,0,1,0,0,0,23500
2022,15,0,21,1,0,0,0,0,0,24000
2022,15,0,20,0,0,0,0,1,0,20200
2022,15,0,44,0,0,0,1,0,0,9500
2022,15,0,29,0,0,0,1,0,0,65000
2022,15,0,20,0,0,0,1,0,0,22400
2022,15,1,19,0,0,0,0,1,0,7500
2022,15,1,43,0,0,0,0,0,0,200
2022,15,0,67,0,1,0,0,0,0,15300
2022,15,0,34,0,0,0,0,0,1,36000
2022,15,0,24,0,0,0,0,1,0,24000
2022,15,0,22,0,0,0,1,0,0,35400
2022,15,0,20,0,0,0,0,1,0,20200
2022,15,0,20,1,0,0,0,1,0,12000
2022,15,0,22,0,0,0,0,1,0,6000
2022,15,0,20,0,0,0,0,1,0,24000
2022,15,0,24,0,0,1,0,0,1,15000
2022,15,0,70,0,0,0,0,0,0,0
2022,15,1,60,0,0,0,0,1,1,10800
2022,15,0,26,0,0,0,0,1,0,35000
2022,15,1,55,0,0,0,1,0,0,9280
2022,15,1,31,0,0,0,0,0,0,1100
2022,15,1,18,1,0,0,0,1,0,1600
2022,15,1,78,0,1,0,0,0,1,6000
2022,15,1,38,0,0,0,0,0,0,0
2022,15,1,23,1,0,0,0,1,0,20300
2022,15,0,40,0,0,0,0,0,0,0
2022,15,0,31,1,0,0,0,0,0,0
2022,15,0,22,0,0,0,1,0,0,7700
2022,15,0,27,0,0,0,0,1,0,23000
2022,15,1,23,0,0,0,0,1,0,32000
2022,15,0,18,0,0,0,0,1,0,3000
2022,15,0,22,1,0,0,0,0,0,0
2022,15,0,22,0,0,0,0,1,0,68000
2022,15,0,63,1,0,0,0,0,0,2300
2022,15,1,36,0,0,0,0,0,0,5200
2022,15,1,89,0,1,0,0,0,0,0
