Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A14006_001,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"72081","Lares Municipio, Puerto Rico","pr","050","00",,,,"72","081",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72081","Lares Municipio",,,,27944,19323,21020,6485,4873,5185,3280,1075,10,112
"72083","Las Marías Municipio, Puerto Rico","pr","050","00",,,,"72","083",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72083","Las Marías Municipio",,,,8790,16170,6338,1987,2378,923,878,147,0,25
"72085","Las Piedras Municipio, Puerto Rico","pr","050","00",,,,"72","085",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72085","Las Piedras Municipio",,,,35034,25697,25895,4401,6137,7869,5296,1965,103,124
"72087","Loíza Municipio, Puerto Rico","pr","050","00",,,,"72","087",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72087","Loíza Municipio",,,,23176,22500,17090,3845,6286,3801,2553,520,51,34
"72089","Luquillo Municipio, Puerto Rico","pr","050","00",,,,"72","089",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72089","Luquillo Municipio",,,,17631,23769,13099,2536,4474,3013,2154,570,77,275
"72091","Manatí Municipio, Puerto Rico","pr","050","00",,,,"72","091",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72091","Manatí Municipio",,,,39152,20352,28962,7110,8848,6119,5102,1333,247,203
"72093","Maricao Municipio, Puerto Rico","pr","050","00",,,,"72","093",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72093","Maricao Municipio",,,,5176,20541,3936,1551,1329,603,271,182,0,0
"72095","Maunabo Municipio, Puerto Rico","pr","050","00",,,,"72","095",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72095","Maunabo Municipio",,,,10482,19363,7987,2141,2423,2410,621,318,16,58
"72097","Mayagüez Municipio, Puerto Rico","pr","050","00",,,,"72","097",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72097","Mayagüez Municipio",,,,71824,17963,49302,11747,14506,9507,9171,2692,738,941
"72099","Moca Municipio, Puerto Rico","pr","050","00",,,,"72","099",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72099","Moca Municipio",,,,37402,21415,27264,7477,8578,4453,5061,1194,210,291
